"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","5431","T-009 Попытка снятие невалидной суммы: ""#$%""","","Sat Jun 14 16:47:12 GMT 2025","passed","Sat Jun 14 16:47:18 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7498","T-009 Попытка снятие невалидной суммы: ""abc""","","Sat Jun 14 16:47:08 GMT 2025","passed","Sat Jun 14 16:47:16 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6689","T-009 Попытка снятие невалидной суммы: "" ""","","Sat Jun 14 16:46:59 GMT 2025","passed","Sat Jun 14 16:47:05 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","13966","T-005","","Sat Jun 14 16:46:48 GMT 2025","passed","Sat Jun 14 16:47:02 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тест работоспособности открытия модального окна внесения депозита","17358","T-002","","Sat Jun 14 16:46:42 GMT 2025","passed","Sat Jun 14 16:47:00 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование снятия депозита (Негативный кейс)","7111","T-009 Попытка снятие невалидной суммы: """"","","Sat Jun 14 16:47:09 GMT 2025","passed","Sat Jun 14 16:47:16 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия и внесения депозита","17930","T-004","","Sat Jun 14 16:46:48 GMT 2025","passed","Sat Jun 14 16:47:06 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование добавления клиента в личном кабинете менеджера","8612","T-007","","Sat Jun 14 16:47:00 GMT 2025","passed","Sat Jun 14 16:47:08 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тест работоспособности открытия модального окна снятия депозита","7132","T-003","","Sat Jun 14 16:47:00 GMT 2025","passed","Sat Jun 14 16:47:07 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование внесения депозита (Негативный кейс)","8452","T-008 Попытка внести невалидную сумму: ""0""","","Sat Jun 14 16:47:01 GMT 2025","passed","Sat Jun 14 16:47:09 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7416","T-009 Попытка снятие невалидной суммы: ""0""","","Sat Jun 14 16:47:09 GMT 2025","passed","Sat Jun 14 16:47:16 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет менеджера","16004","T-006","","Sat Jun 14 16:46:42 GMT 2025","passed","Sat Jun 14 16:46:58 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование выбора аккаунта(счета) клиента","17856","T-010","","Sat Jun 14 16:46:42 GMT 2025","passed","Sat Jun 14 16:47:00 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование внесения депозита (Негативный кейс)","8118","T-008 Попытка внести невалидную сумму: ""100,50""","","Sat Jun 14 16:47:04 GMT 2025","failed","Sat Jun 14 16:47:12 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","6825","T-001","","Sat Jun 14 16:47:02 GMT 2025","passed","Sat Jun 14 16:47:09 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование внесения депозита (Негативный кейс)","16283","T-008 Попытка внести невалидную сумму: ""abc""","","Sat Jun 14 16:46:48 GMT 2025","passed","Sat Jun 14 16:47:04 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","17748","T-008 Попытка внести невалидную сумму: "" ""","","Sat Jun 14 16:46:42 GMT 2025","passed","Sat Jun 14 16:47:00 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7333","T-009 Попытка снятие невалидной суммы: ""-100""","","Sat Jun 14 16:47:06 GMT 2025","passed","Sat Jun 14 16:47:13 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7018","T-009 Попытка снятие невалидной суммы: ""100,50""","","Sat Jun 14 16:47:05 GMT 2025","passed","Sat Jun 14 16:47:12 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7030","T-008 Попытка внести невалидную сумму: ""#$%""","","Sat Jun 14 16:47:07 GMT 2025","passed","Sat Jun 14 16:47:14 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","6853","T-008 Попытка внести невалидную сумму: """"","","Sat Jun 14 16:47:04 GMT 2025","passed","Sat Jun 14 16:47:11 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","16139","T-008 Попытка внести невалидную сумму: ""-100""","","Sat Jun 14 16:46:48 GMT 2025","passed","Sat Jun 14 16:47:04 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
