"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","5592","T-009 Попытка снятие невалидной суммы: ""100,50""","","Wed Jul 30 12:07:25 GMT 2025","passed","Wed Jul 30 12:07:31 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет менеджера","7043","T-006","","Wed Jul 30 12:07:15 GMT 2025","passed","Wed Jul 30 12:07:22 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование внесения депозита (Негативный кейс)","8583","T-008 Попытка внести невалидную сумму: ""0""","","Wed Jul 30 12:07:15 GMT 2025","passed","Wed Jul 30 12:07:24 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тест работоспособности открытия модального окна снятия депозита","9177","T-003","","Wed Jul 30 12:07:16 GMT 2025","passed","Wed Jul 30 12:07:26 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тест работоспособности открытия модального окна внесения депозита","9079","T-002","","Wed Jul 30 12:07:15 GMT 2025","passed","Wed Jul 30 12:07:24 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование внесения депозита (Негативный кейс)","9128","T-008 Попытка внести невалидную сумму: ""-100""","","Wed Jul 30 12:07:15 GMT 2025","passed","Wed Jul 30 12:07:25 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","7096","T-005","","Wed Jul 30 12:07:15 GMT 2025","passed","Wed Jul 30 12:07:22 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование снятия и внесения депозита","12492","T-004","","Wed Jul 30 12:07:16 GMT 2025","passed","Wed Jul 30 12:07:28 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование создания пользователя","12471","API-T-003","","Wed Jul 30 12:07:37 GMT 2025","passed","Wed Jul 30 12:07:50 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createUserTest"
"Тестирование внесения депозита (Негативный кейс)","8290","T-008 Попытка внести невалидную сумму: ""abc""","","Wed Jul 30 12:07:16 GMT 2025","passed","Wed Jul 30 12:07:24 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","8941","T-009 Попытка снятие невалидной суммы: ""abc""","","Wed Jul 30 12:07:16 GMT 2025","passed","Wed Jul 30 12:07:25 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","9420","T-009 Попытка снятие невалидной суммы: ""0""","","Wed Jul 30 12:07:16 GMT 2025","passed","Wed Jul 30 12:07:25 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
