"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование создания автомобиля","1364","API-T-005","","Mon Jul 14 15:37:29 GMT 2025","broken","Mon Jul 14 15:37:30 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createCarTest"
"Тест работоспособности открытия модального окна внесения депозита","15645","T-002","","Mon Jul 14 15:36:41 GMT 2025","passed","Mon Jul 14 15:36:56 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование выбора аккаунта(счета) клиента","14145","T-010","","Mon Jul 14 15:36:43 GMT 2025","passed","Mon Jul 14 15:36:57 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тест работоспособности перехода на страницу транзакции.","15117","T-005","","Mon Jul 14 15:36:43 GMT 2025","passed","Mon Jul 14 15:36:58 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тест работоспособности открытия модального окна снятия депозита","5642","T-003","","Mon Jul 14 15:36:58 GMT 2025","passed","Mon Jul 14 15:37:04 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование внесения депозита (Негативный кейс)","6151","T-008 Попытка внести невалидную сумму: ""#$%""","","Mon Jul 14 15:37:01 GMT 2025","passed","Mon Jul 14 15:37:07 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","5634","T-009 Попытка снятие невалидной суммы: """"","","Mon Jul 14 15:37:03 GMT 2025","passed","Mon Jul 14 15:37:09 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6162","T-009 Попытка снятие невалидной суммы: ""-100""","","Mon Jul 14 15:37:04 GMT 2025","passed","Mon Jul 14 15:37:10 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование заселения пользователя в дом","2134","API-T-002","","Mon Jul 14 15:37:27 GMT 2025","broken","Mon Jul 14 15:37:29 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","settleHouse"
"Тестирование добавления клиента в личном кабинете менеджера","6388","T-007","","Mon Jul 14 15:36:56 GMT 2025","passed","Mon Jul 14 15:37:03 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тестирование создания пользователя","2570","API-T-003","","Mon Jul 14 15:37:24 GMT 2025","broken","Mon Jul 14 15:37:27 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createUserTest"
"Тестирование снятия депозита (Негативный кейс)","6134","T-009 Попытка снятие невалидной суммы: ""0""","","Mon Jul 14 15:36:57 GMT 2025","passed","Mon Jul 14 15:37:03 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6448","T-009 Попытка снятие невалидной суммы: ""100,50""","","Mon Jul 14 15:37:10 GMT 2025","passed","Mon Jul 14 15:37:17 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет менеджера","14281","T-006","","Mon Jul 14 15:36:41 GMT 2025","passed","Mon Jul 14 15:36:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование внесения депозита (Негативный кейс)","6069","T-008 Попытка внести невалидную сумму: ""abc""","","Mon Jul 14 15:37:00 GMT 2025","passed","Mon Jul 14 15:37:06 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","3869","T-001","","Mon Jul 14 15:37:03 GMT 2025","passed","Mon Jul 14 15:37:06 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование внесения депозита (Негативный кейс)","4505","T-008 Попытка внести невалидную сумму: """"","","Mon Jul 14 15:37:06 GMT 2025","passed","Mon Jul 14 15:37:10 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","6362","T-008 Попытка внести невалидную сумму: ""100,50""","","Mon Jul 14 15:37:07 GMT 2025","failed","Mon Jul 14 15:37:14 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","5068","T-009 Попытка снятие невалидной суммы: ""#$%""","","Mon Jul 14 15:37:09 GMT 2025","passed","Mon Jul 14 15:37:14 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование создания дома с парковками","1389","API-T-004","","Mon Jul 14 15:37:27 GMT 2025","broken","Mon Jul 14 15:37:29 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createHouseTest"
"Тестирование внесения депозита (Негативный кейс)","4496","T-008 Попытка внести невалидную сумму: "" ""","","Mon Jul 14 15:36:56 GMT 2025","passed","Mon Jul 14 15:37:01 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","5177","T-009 Попытка снятие невалидной суммы: "" ""","","Mon Jul 14 15:37:10 GMT 2025","passed","Mon Jul 14 15:37:15 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование покупки автомобиля","2572","API-T-001","","Mon Jul 14 15:37:24 GMT 2025","broken","Mon Jul 14 15:37:27 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","buyCarTest"
"Тестирование снятия и внесения депозита","21506","T-004","","Mon Jul 14 15:36:55 GMT 2025","broken","Mon Jul 14 15:37:17 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование внесения депозита (Негативный кейс)","16696","T-008 Попытка внести невалидную сумму: ""-100""","","Mon Jul 14 15:36:43 GMT 2025","passed","Mon Jul 14 15:37:00 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","5461","T-009 Попытка снятие невалидной суммы: ""abc""","","Mon Jul 14 15:37:06 GMT 2025","passed","Mon Jul 14 15:37:12 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","13035","T-008 Попытка внести невалидную сумму: ""0""","","Mon Jul 14 15:36:43 GMT 2025","passed","Mon Jul 14 15:36:56 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
