"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","5239","T-009 Попытка снятие невалидной суммы: """"","","Mon Jul 14 15:17:02 GMT 2025","passed","Mon Jul 14 15:17:07 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","23664","T-008 Попытка внести невалидную сумму: ""0""","","Mon Jul 14 15:16:31 GMT 2025","passed","Mon Jul 14 15:16:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","25292","T-005","","Mon Jul 14 15:16:31 GMT 2025","passed","Mon Jul 14 15:16:56 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование снятия депозита (Негативный кейс)","4324","T-009 Попытка снятие невалидной суммы: ""#$%""","","Mon Jul 14 15:17:07 GMT 2025","passed","Mon Jul 14 15:17:11 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","3962","T-009 Попытка снятие невалидной суммы: ""100,50""","","Mon Jul 14 15:17:10 GMT 2025","passed","Mon Jul 14 15:17:14 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"","1","CreationTests","","Mon Jul 14 15:17:22 GMT 2025","broken","Mon Jul 14 15:17:22 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests",""
"Тестирование внесения депозита (Негативный кейс)","5006","T-008 Попытка внести невалидную сумму: ""100,50""","","Mon Jul 14 15:17:10 GMT 2025","failed","Mon Jul 14 15:17:15 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование добавления клиента в личном кабинете менеджера","5193","T-007","","Mon Jul 14 15:16:54 GMT 2025","passed","Mon Jul 14 15:16:59 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тестирование внесения депозита (Негативный кейс)","5397","T-008 Попытка внести невалидную сумму: ""abc""","","Mon Jul 14 15:16:58 GMT 2025","passed","Mon Jul 14 15:17:03 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"","0","BuySellTests","","Mon Jul 14 15:17:22 GMT 2025","broken","Mon Jul 14 15:17:22 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests",""
