"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","5954","T-009 Попытка снятие невалидной суммы: ""-100""","","Mon Jul 14 14:46:42 GMT 2025","passed","Mon Jul 14 14:46:48 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","14061","T-005","","Mon Jul 14 14:46:26 GMT 2025","passed","Mon Jul 14 14:46:40 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование внесения депозита (Негативный кейс)","6349","T-008 Попытка внести невалидную сумму: ""100,50""","","Mon Jul 14 14:46:48 GMT 2025","failed","Mon Jul 14 14:46:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","5235","T-009 Попытка снятие невалидной суммы: """"","","Mon Jul 14 14:46:48 GMT 2025","passed","Mon Jul 14 14:46:53 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7514","T-008 Попытка внести невалидную сумму: "" ""","","Mon Jul 14 14:46:37 GMT 2025","passed","Mon Jul 14 14:46:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6089","T-009 Попытка снятие невалидной суммы: "" ""","","Mon Jul 14 14:46:45 GMT 2025","passed","Mon Jul 14 14:46:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","4719","T-008 Попытка внести невалидную сумму: ""#$%""","","Mon Jul 14 14:46:44 GMT 2025","passed","Mon Jul 14 14:46:49 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","4754","T-009 Попытка снятие невалидной суммы: ""#$%""","","Mon Jul 14 14:46:51 GMT 2025","passed","Mon Jul 14 14:46:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6334","T-009 Попытка снятие невалидной суммы: ""abc""","","Mon Jul 14 14:46:45 GMT 2025","passed","Mon Jul 14 14:46:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет менеджера","13583","T-006","","Mon Jul 14 14:46:22 GMT 2025","passed","Mon Jul 14 14:46:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
