"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест работоспособности открытия модального окна внесения депозита","31798","T-002","","Sat Jun 14 17:24:07 GMT 2025","passed","Sat Jun 14 17:24:39 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тест работоспособности открытия модального окна снятия депозита","8817","T-003","","Sat Jun 14 17:24:38 GMT 2025","passed","Sat Jun 14 17:24:47 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование снятия депозита (Негативный кейс)","7848","T-009 Попытка снятие невалидной суммы: ""#$%""","","Sat Jun 14 17:24:44 GMT 2025","passed","Sat Jun 14 17:24:52 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","32231","T-008 Попытка внести невалидную сумму: "" ""","","Sat Jun 14 17:24:07 GMT 2025","passed","Sat Jun 14 17:24:40 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6838","T-009 Попытка снятие невалидной суммы: ""0""","","Sat Jun 14 17:24:48 GMT 2025","passed","Sat Jun 14 17:24:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","6822","T-001","","Sat Jun 14 17:24:40 GMT 2025","passed","Sat Jun 14 17:24:47 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование внесения депозита (Негативный кейс)","7519","T-008 Попытка внести невалидную сумму: ""0""","","Sat Jun 14 17:24:44 GMT 2025","passed","Sat Jun 14 17:24:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование добавления клиента в личном кабинете менеджера","9090","T-007","","Sat Jun 14 17:24:39 GMT 2025","passed","Sat Jun 14 17:24:48 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тест работоспособности перехода на страницу транзакции.","25888","T-005","","Sat Jun 14 17:24:17 GMT 2025","passed","Sat Jun 14 17:24:43 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование снятия депозита (Негативный кейс)","7130","T-009 Попытка снятие невалидной суммы: ""100,50""","","Sat Jun 14 17:24:51 GMT 2025","passed","Sat Jun 14 17:24:58 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование выбора аккаунта(счета) клиента","32776","T-010","","Sat Jun 14 17:24:07 GMT 2025","passed","Sat Jun 14 17:24:40 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование внесения депозита (Негативный кейс)","6950","T-008 Попытка внести невалидную сумму: ""100,50""","","Sat Jun 14 17:24:50 GMT 2025","failed","Sat Jun 14 17:24:57 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7497","T-009 Попытка снятие невалидной суммы: ""abc""","","Sat Jun 14 17:24:47 GMT 2025","passed","Sat Jun 14 17:24:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7238","T-009 Попытка снятие невалидной суммы: ""-100""","","Sat Jun 14 17:24:43 GMT 2025","passed","Sat Jun 14 17:24:50 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7193","T-008 Попытка внести невалидную сумму: """"","","Sat Jun 14 17:24:47 GMT 2025","passed","Sat Jun 14 17:24:54 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7555","T-008 Попытка внести невалидную сумму: ""abc""","","Sat Jun 14 17:24:43 GMT 2025","passed","Sat Jun 14 17:24:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","8080","T-008 Попытка внести невалидную сумму: ""#$%""","","Sat Jun 14 17:24:40 GMT 2025","passed","Sat Jun 14 17:24:48 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","5325","T-009 Попытка снятие невалидной суммы: """"","","Sat Jun 14 17:24:50 GMT 2025","passed","Sat Jun 14 17:24:56 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет менеджера","30179","T-006","","Sat Jun 14 17:24:07 GMT 2025","passed","Sat Jun 14 17:24:38 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование снятия депозита (Негативный кейс)","26993","T-009 Попытка снятие невалидной суммы: "" ""","","Sat Jun 14 17:24:17 GMT 2025","passed","Sat Jun 14 17:24:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","26713","T-008 Попытка внести невалидную сумму: ""-100""","","Sat Jun 14 17:24:17 GMT 2025","passed","Sat Jun 14 17:24:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия и внесения депозита","26076","T-004","","Sat Jun 14 17:24:17 GMT 2025","passed","Sat Jun 14 17:24:43 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
