"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","6603","T-009 Попытка снятие невалидной суммы: """"","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:41 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности открытия модального окна внесения депозита","14554","T-002","","Wed Jul 23 17:21:20 GMT 2025","passed","Wed Jul 23 17:21:34 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование снятия депозита (Негативный кейс)","7405","T-009 Попытка снятие невалидной суммы: ""100,50""","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7001","T-009 Попытка снятие невалидной суммы: ""#$%""","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","11847","T-001","","Wed Jul 23 17:21:23 GMT 2025","passed","Wed Jul 23 17:21:34 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование внесения депозита (Негативный кейс)","6673","T-008 Попытка внести невалидную сумму: ""#$%""","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование создания дома с парковками","2436","API-T-004","","Wed Jul 23 17:21:59 GMT 2025","passed","Wed Jul 23 17:22:01 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createHouseTest"
"Тестирование внесения депозита (Негативный кейс)","7331","T-008 Попытка внести невалидную сумму: "" ""","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7343","T-008 Попытка внести невалидную сумму: ""100,50""","","Wed Jul 23 17:21:35 GMT 2025","failed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование покупки автомобиля","12072","API-T-001","","Wed Jul 23 17:21:46 GMT 2025","passed","Wed Jul 23 17:21:59 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","buyCarTest"
"Тестирование снятия депозита (Негативный кейс)","13703","T-009 Попытка снятие невалидной суммы: ""abc""","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:36 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6917","T-009 Попытка снятие невалидной суммы: "" ""","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование создания пользователя","12076","API-T-003","","Wed Jul 23 17:21:46 GMT 2025","passed","Wed Jul 23 17:21:59 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createUserTest"
"Тестирование выбора аккаунта(счета) клиента","15623","T-010","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:38 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование внесения депозита (Негативный кейс)","13386","T-008 Попытка внести невалидную сумму: ""-100""","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:36 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","12574","T-009 Попытка снятие невалидной суммы: ""0""","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование заселения пользователя в дом","11666","API-T-002","","Wed Jul 23 17:21:47 GMT 2025","passed","Wed Jul 23 17:21:59 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","settleHouse"
"Тестирование снятия депозита (Негативный кейс)","12362","T-009 Попытка снятие невалидной суммы: ""-100""","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","12633","T-005","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование внесения депозита (Негативный кейс)","12298","T-008 Попытка внести невалидную сумму: ""abc""","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия и внесения депозита","17071","T-004","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:39 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тест работоспособности открытия модального окна снятия депозита","12481","T-003","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование внесения депозита (Негативный кейс)","12725","T-008 Попытка внести невалидную сумму: ""0""","","Wed Jul 23 17:21:22 GMT 2025","passed","Wed Jul 23 17:21:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование создания автомобиля","1361","API-T-005","","Wed Jul 23 17:21:59 GMT 2025","passed","Wed Jul 23 17:22:00 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createCarTest"
"Тестирование авторизации в личный кабинет менеджера","12638","T-006","","Wed Jul 23 17:21:20 GMT 2025","passed","Wed Jul 23 17:21:33 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование добавления клиента в личном кабинете менеджера","16115","T-007","","Wed Jul 23 17:21:23 GMT 2025","passed","Wed Jul 23 17:21:39 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тестирование внесения депозита (Негативный кейс)","7344","T-008 Попытка внести невалидную сумму: """"","","Wed Jul 23 17:21:35 GMT 2025","passed","Wed Jul 23 17:21:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
