"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование авторизации в личный кабинет менеджера","12151","T-006","","Mon Jul 14 15:11:09 GMT 2025","passed","Mon Jul 14 15:11:21 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тест работоспособности перехода на страницу транзакции.","13045","T-005","","Mon Jul 14 15:11:12 GMT 2025","passed","Mon Jul 14 15:11:25 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование авторизации в личный кабинет клиента","4801","T-001","","Mon Jul 14 15:11:28 GMT 2025","passed","Mon Jul 14 15:11:32 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тест работоспособности открытия модального окна снятия депозита","6341","T-003","","Mon Jul 14 15:11:25 GMT 2025","passed","Mon Jul 14 15:11:31 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование снятия депозита (Негативный кейс)","5389","T-009 Попытка снятие невалидной суммы: """"","","Mon Jul 14 15:11:30 GMT 2025","passed","Mon Jul 14 15:11:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","5185","T-008 Попытка внести невалидную сумму: "" ""","","Mon Jul 14 15:11:23 GMT 2025","passed","Mon Jul 14 15:11:28 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","5541","T-008 Попытка внести невалидную сумму: ""#$%""","","Mon Jul 14 15:11:28 GMT 2025","passed","Mon Jul 14 15:11:34 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование добавления клиента в личном кабинете менеджера","5031","T-007","","Mon Jul 14 15:11:23 GMT 2025","passed","Mon Jul 14 15:11:28 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"","0","BuySellTests","","Mon Jul 14 15:11:50 GMT 2025","broken","Mon Jul 14 15:11:50 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests",""
"Тестирование снятия депозита (Негативный кейс)","6102","T-009 Попытка снятие невалидной суммы: ""abc""","","Mon Jul 14 15:11:32 GMT 2025","passed","Mon Jul 14 15:11:39 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","4051","T-009 Попытка снятие невалидной суммы: ""#$%""","","Mon Jul 14 15:11:35 GMT 2025","passed","Mon Jul 14 15:11:39 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","5463","T-008 Попытка внести невалидную сумму: """"","","Mon Jul 14 15:11:32 GMT 2025","passed","Mon Jul 14 15:11:37 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"","1","CreationTests","","Mon Jul 14 15:11:50 GMT 2025","broken","Mon Jul 14 15:11:50 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests",""
"Тестирование внесения депозита (Негативный кейс)","14832","T-008 Попытка внести невалидную сумму: ""-100""","","Mon Jul 14 15:11:12 GMT 2025","passed","Mon Jul 14 15:11:26 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","11608","T-008 Попытка внести невалидную сумму: ""0""","","Mon Jul 14 15:11:12 GMT 2025","passed","Mon Jul 14 15:11:23 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6534","T-009 Попытка снятие невалидной суммы: ""0""","","Mon Jul 14 15:11:23 GMT 2025","passed","Mon Jul 14 15:11:30 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия и внесения депозита","22201","T-004","","Mon Jul 14 15:11:21 GMT 2025","broken","Mon Jul 14 15:11:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование внесения депозита (Негативный кейс)","5299","T-008 Попытка внести невалидную сумму: ""abc""","","Mon Jul 14 15:11:27 GMT 2025","passed","Mon Jul 14 15:11:32 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","4658","T-008 Попытка внести невалидную сумму: ""100,50""","","Mon Jul 14 15:11:37 GMT 2025","failed","Mon Jul 14 15:11:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","4821","T-009 Попытка снятие невалидной суммы: ""-100""","","Mon Jul 14 15:11:31 GMT 2025","passed","Mon Jul 14 15:11:36 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование выбора аккаунта(счета) клиента","11744","T-010","","Mon Jul 14 15:11:12 GMT 2025","passed","Mon Jul 14 15:11:23 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование снятия депозита (Негативный кейс)","4154","T-009 Попытка снятие невалидной суммы: ""100,50""","","Mon Jul 14 15:11:38 GMT 2025","passed","Mon Jul 14 15:11:42 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности открытия модального окна внесения депозита","13684","T-002","","Mon Jul 14 15:11:09 GMT 2025","passed","Mon Jul 14 15:11:23 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование снятия депозита (Негативный кейс)","4767","T-009 Попытка снятие невалидной суммы: "" ""","","Mon Jul 14 15:11:36 GMT 2025","passed","Mon Jul 14 15:11:41 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
