"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","8505","T-009 Попытка снятие невалидной суммы: ""#$%""","","Tue Jun 10 18:13:26 GMT 2025","passed","Tue Jun 10 18:13:35 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","8222","T-008 Попытка внести невалидную сумму: ""0""","","Tue Jun 10 18:13:29 GMT 2025","passed","Tue Jun 10 18:13:37 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","8697","T-008 Попытка внести невалидную сумму: ""100,50""","","Tue Jun 10 18:13:35 GMT 2025","failed","Tue Jun 10 18:13:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7437","T-008 Попытка внести невалидную сумму: ""#$%""","","Tue Jun 10 18:13:22 GMT 2025","passed","Tue Jun 10 18:13:30 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование авторизации в личный кабинет менеджера","35092","T-006","","Tue Jun 10 18:12:46 GMT 2025","passed","Tue Jun 10 18:13:21 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование снятия и внесения депозита","38750","T-004","","Tue Jun 10 18:13:02 GMT 2025","broken","Tue Jun 10 18:13:41 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование добавления клиента в личном кабинете менеджера","8393","T-007","","Tue Jun 10 18:13:22 GMT 2025","passed","Tue Jun 10 18:13:30 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тестирование снятия депозита (Негативный кейс)","7043","T-009 Попытка снятие невалидной суммы: """"","","Tue Jun 10 18:13:33 GMT 2025","passed","Tue Jun 10 18:13:40 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","8498","T-001","","Tue Jun 10 18:13:23 GMT 2025","passed","Tue Jun 10 18:13:31 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование снятия депозита (Негативный кейс)","24411","T-009 Попытка снятие невалидной суммы: "" ""","","Tue Jun 10 18:13:02 GMT 2025","passed","Tue Jun 10 18:13:26 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
