"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование добавления клиента в личном кабинете менеджера","15470","T-007","","Wed Jul 30 11:43:32 GMT 2025","passed","Wed Jul 30 11:43:48 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тестирование внесения депозита (Негативный кейс)","6075","T-008 Попытка внести невалидную сумму: ""100,50""","","Wed Jul 30 11:43:45 GMT 2025","failed","Wed Jul 30 11:43:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","14239","T-008 Попытка внести невалидную сумму: ""-100""","","Wed Jul 30 11:43:32 GMT 2025","passed","Wed Jul 30 11:43:46 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","12252","T-001","","Wed Jul 30 11:43:32 GMT 2025","passed","Wed Jul 30 11:43:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование покупки автомобиля","10168","API-T-001","","Wed Jul 30 11:44:07 GMT 2025","passed","Wed Jul 30 11:44:17 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","buyCarTest"
"Тестирование внесения депозита (Негативный кейс)","5937","T-008 Попытка внести невалидную сумму: "" ""","","Wed Jul 30 11:43:45 GMT 2025","passed","Wed Jul 30 11:43:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","12774","T-009 Попытка снятие невалидной суммы: ""abc""","","Wed Jul 30 11:43:32 GMT 2025","passed","Wed Jul 30 11:43:45 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","3281","T-009 Попытка снятие невалидной суммы: ""#$%""","","Wed Jul 30 11:43:52 GMT 2025","passed","Wed Jul 30 11:43:55 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности открытия модального окна внесения депозита","17352","T-002","","Wed Jul 30 11:43:28 GMT 2025","passed","Wed Jul 30 11:43:45 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование создания пользователя","10167","API-T-003","","Wed Jul 30 11:44:07 GMT 2025","passed","Wed Jul 30 11:44:17 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createUserTest"
"Тестирование внесения депозита (Негативный кейс)","12829","T-008 Попытка внести невалидную сумму: ""0""","","Wed Jul 30 11:43:32 GMT 2025","passed","Wed Jul 30 11:43:45 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","3303","T-008 Попытка внести невалидную сумму: ""#$%""","","Wed Jul 30 11:43:51 GMT 2025","passed","Wed Jul 30 11:43:54 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
