"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование создания дома с парковками","649","API-T-004","","Thu Jul 24 10:20:47 GMT 2025","passed","Thu Jul 24 10:20:48 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createHouseTest"
"Тест работоспособности открытия модального окна внесения депозита","12486","T-002","","Thu Jul 24 10:19:58 GMT 2025","passed","Thu Jul 24 10:20:10 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenDeposit"
"Тестирование снятия депозита (Негативный кейс)","4927","T-009 Попытка снятие невалидной суммы: ""-100""","","Thu Jul 24 10:20:19 GMT 2025","passed","Thu Jul 24 10:20:24 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия и внесения депозита","21368","T-004","","Thu Jul 24 10:20:09 GMT 2025","broken","Thu Jul 24 10:20:31 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование авторизации в личный кабинет менеджера","11455","T-006","","Thu Jul 24 10:19:58 GMT 2025","passed","Thu Jul 24 10:20:09 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование авторизации в личный кабинет клиента","4349","T-001","","Thu Jul 24 10:20:16 GMT 2025","passed","Thu Jul 24 10:20:20 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование выбора аккаунта(счета) клиента","11534","T-010","","Thu Jul 24 10:20:00 GMT 2025","passed","Thu Jul 24 10:20:11 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование снятия депозита (Негативный кейс)","5349","T-009 Попытка снятие невалидной суммы: "" ""","","Thu Jul 24 10:20:24 GMT 2025","passed","Thu Jul 24 10:20:29 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование заселения пользователя в дом","1041","API-T-002","","Thu Jul 24 10:20:47 GMT 2025","passed","Thu Jul 24 10:20:48 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","settleHouse"
"Тестирование внесения депозита (Негативный кейс)","5746","T-008 Попытка внести невалидную сумму: """"","","Thu Jul 24 10:20:20 GMT 2025","passed","Thu Jul 24 10:20:26 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование покупки автомобиля","9211","API-T-001","","Thu Jul 24 10:20:38 GMT 2025","passed","Thu Jul 24 10:20:47 GMT 2025","","tests.api.BuySellTests","tests.api.BuySellTests","buyCarTest"
"Тестирование внесения депозита (Негативный кейс)","5890","T-008 Попытка внести невалидную сумму: "" ""","","Thu Jul 24 10:20:11 GMT 2025","passed","Thu Jul 24 10:20:17 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","10745","T-008 Попытка внести невалидную сумму: ""0""","","Thu Jul 24 10:20:00 GMT 2025","passed","Thu Jul 24 10:20:11 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование создания автомобиля","1508","API-T-005","","Thu Jul 24 10:20:48 GMT 2025","passed","Thu Jul 24 10:20:49 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createCarTest"
"Тестирование внесения депозита (Негативный кейс)","5621","T-008 Попытка внести невалидную сумму: ""#$%""","","Thu Jul 24 10:20:17 GMT 2025","passed","Thu Jul 24 10:20:22 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","13840","T-008 Попытка внести невалидную сумму: ""-100""","","Thu Jul 24 10:20:00 GMT 2025","passed","Thu Jul 24 10:20:14 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование добавления клиента в личном кабинете менеджера","5393","T-007","","Thu Jul 24 10:20:10 GMT 2025","passed","Thu Jul 24 10:20:16 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тест работоспособности открытия модального окна снятия депозита","5718","T-003","","Thu Jul 24 10:20:13 GMT 2025","passed","Thu Jul 24 10:20:19 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование внесения депозита (Негативный кейс)","6103","T-008 Попытка внести невалидную сумму: ""abc""","","Thu Jul 24 10:20:14 GMT 2025","passed","Thu Jul 24 10:20:20 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6943","T-009 Попытка снятие невалидной суммы: ""abc""","","Thu Jul 24 10:20:20 GMT 2025","passed","Thu Jul 24 10:20:27 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6001","T-009 Попытка снятие невалидной суммы: ""0""","","Thu Jul 24 10:20:11 GMT 2025","passed","Thu Jul 24 10:20:17 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование создания пользователя","9212","API-T-003","","Thu Jul 24 10:20:38 GMT 2025","passed","Thu Jul 24 10:20:47 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests","createUserTest"
"Тестирование снятия депозита (Негативный кейс)","3646","T-009 Попытка снятие невалидной суммы: ""#$%""","","Thu Jul 24 10:20:24 GMT 2025","passed","Thu Jul 24 10:20:27 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","13096","T-005","","Thu Jul 24 10:20:00 GMT 2025","passed","Thu Jul 24 10:20:13 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование внесения депозита (Негативный кейс)","6328","T-008 Попытка внести невалидную сумму: ""100,50""","","Thu Jul 24 10:20:24 GMT 2025","failed","Thu Jul 24 10:20:30 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6147","T-009 Попытка снятие невалидной суммы: """"","","Thu Jul 24 10:20:17 GMT 2025","passed","Thu Jul 24 10:20:24 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","4894","T-009 Попытка снятие невалидной суммы: ""100,50""","","Thu Jul 24 10:20:26 GMT 2025","passed","Thu Jul 24 10:20:31 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
